category,amt,gender,city,state,city_pop,job,is_fraud,hour,age,is_night_transaction,transaction_speed,distance_to_merchant
grocery_net,36.68,M,Birmingham,AL,493806,Musician,0,9,39,0,,80.87446682859954
travel,6.94,M,Boulder,MT,1939,Patent attorney,1,22,53,1,11798126.0,52.28725327178654
gas_transport,41.96,M,Cleveland,AL,3996,Aid worker,0,0,43,1,-2066814.0,25.509481586214573
shopping_net,992.69,M,Powell,TN,25459,"Teacher, special educational needs",1,22,51,1,8805055.0,67.05570318150895
health_fitness,21.37,M,Saint James City,FL,3776,Sport and exercise psychologist,1,22,43,1,-25745360.0,78.93156207479511
grocery_pos,288.77,M,Luzerne,MI,864,General practice doctor,1,1,78,1,22475429.0,61.0577053934058
misc_net,671.44,M,Lepanto,AR,2470,Counselling psychologist,1,13,51,0,-8423657.0,25.51910035682663
food_dining,129.11,F,Walnut Ridge,AR,7155,"Engineer, control and instrumentation",1,0,43,1,15158530.0,83.03338345744125
shopping_net,28.66,F,Bristol,PA,21125,"Administrator, charities/voluntary organisations",0,20,35,0,-8998667.0,90.87574776400908
home,265.76,F,White Sulphur Springs,WV,5216,Community development worker,1,23,26,1,-1374676.0,121.96631407944226
home,54.78,M,Morrisdale,PA,3688,Advice worker,0,21,47,0,15804793.0,118.98571572098673
gas_transport,30.68,F,Red River,NM,606,"Surveyor, land/geomatics",0,6,31,1,-27268137.0,19.92641733317185
grocery_pos,284.63,M,Warren,MI,134056,"Doctor, hospital",1,0,40,1,-7107223.0,70.72671305247123
gas_transport,94.57,F,Rocky Mount,MO,1847,Tax inspector,0,10,31,0,22930129.0,79.91156767961519
entertainment,15.7,F,Bowersville,OH,338,Quantity surveyor,0,17,31,0,9789249.0,121.1745655131548
health_fitness,89.85,M,Alton,IA,1700,"Engineer, land",0,13,18,0,504384.0,84.75801443291463
entertainment,31.7,F,Smith River,CA,1930,Web designer,0,19,37,0,-5939925.0,92.91960068356069
grocery_pos,264.75,M,Zaleski,OH,341,Accounting technician,1,2,41,1,12553180.0,26.20342014946636
travel,1.01,F,Edisto Island,SC,2408,"Sales professional, IT",0,22,22,1,-24204551.0,53.56342035762723
kids_pets,16.05,F,Mount Clemens,MI,16305,"Psychologist, sport and exercise",0,15,93,0,9562680.0,14.844213210500357
grocery_pos,280.99,M,Louisiana,MO,4593,"Teacher, early years/pre",1,2,79,1,12482734.0,109.2541882265954
entertainment,99.65,M,Shrewsbury,MA,35299,English as a second language teacher,0,23,45,1,-22475037.0,43.4596005467386
personal_care,33.33,M,Allentown,NY,239,Radio producer,0,17,64,0,26761521.0,24.00591283416611
entertainment,569.44,M,Dadeville,AL,8269,Minerals surveyor,1,22,43,1,-3093490.0,101.456584898201
kids_pets,60.73,F,New York City,NY,1577385,Audiological scientist,0,14,62,0,-22059638.0,40.599034992164455
shopping_pos,9.11,F,Brownville,NY,1271,"Producer, radio",0,7,61,0,23216453.0,40.038337052713715
entertainment,571.74,M,Ashfield,MA,1506,"Production assistant, radio",1,22,60,1,-18779296.0,41.18430224574864
grocery_pos,301.63,F,Chattanooga,TN,198659,Contracting civil engineer,1,0,76,1,-21854761.0,68.26390487694522
misc_net,802.24,M,Big Creek,KY,467,"Psychologist, forensic",1,23,36,1,29027932.0,61.5679417150692
home,29.11,F,Basye,VA,863,"Engineer, mining",0,21,47,0,-3377491.0,89.089056559514
kids_pets,80.4,F,Delhi,LA,6581,Multimedia programmer,0,17,56,0,-25589522.0,105.04895903065635
gas_transport,76.46,F,Edisto Island,SC,2408,"Sales professional, IT",0,2,22,1,36839685.0,83.06653229506723
kids_pets,17.13,F,Riverview,MI,15623,Writer,1,23,26,1,2234632.0,52.00654511493406
personal_care,6.78,F,Moro,IL,2401,"Buyer, industrial",0,13,48,0,-7463526.0,91.17040711736256
grocery_pos,290.71,M,Aurora,CO,389246,"Scientist, marine",1,18,50,0,-10523888.0,28.15333186962319
shopping_pos,772.44,F,Kirby,OH,118,Private music teacher,1,23,62,1,6151591.0,112.71790352473842
health_fitness,50.46,M,Lakeland,FL,237282,Plant breeder/geneticist,0,13,70,0,-21204338.0,44.01459856989368
grocery_pos,125.93,F,Bradley,SC,1523,Research scientist (physical sciences),0,1,36,1,3500932.0,66.83511787329202
entertainment,14.5,M,Ballwin,MO,92608,"Engineer, communications",0,13,18,0,22334178.0,76.28517795527517
food_dining,2.34,F,Owensville,MO,6703,Naval architect,0,17,22,0,-16400801.0,36.75782618268218
home,68.86,F,East Canaan,CT,647,Comptroller,0,15,32,0,10446071.0,105.28983344796936
kids_pets,19.76,F,Mendon,UT,2078,"Scientist, audiological",0,14,57,0,-8471939.0,65.14972357634656
kids_pets,53.75,M,Lima,OH,86954,"Copywriter, advertising",0,15,27,0,-10278258.0,30.114221436358136
grocery_pos,326.97,M,Indianapolis,IN,910148,Academic librarian,1,10,32,0,-4595738.0,75.53773123196515
shopping_net,919.83,M,Moss Point,MS,31702,Television production assistant,1,23,86,1,38233965.0,98.81852122817389
grocery_pos,301.73,M,Clinton,IN,10085,Hospital doctor,1,2,55,1,-38089194.0,84.44799500832158
entertainment,589.69,M,Manley,NE,206,Human resources officer,1,23,52,1,11564207.0,89.50143031832052
grocery_net,22.71,M,Hudson,NY,17867,Travel agency manager,0,1,21,1,21004129.0,89.47679625426309
shopping_pos,1.42,F,Pomona,NY,9993,Pensions consultant,0,5,57,1,-28669962.0,94.47708595503612
gas_transport,49.34,F,Phenix City,AL,59744,Chemical engineer,0,3,36,1,20035279.0,52.714679282200514
